region,category,year,units,installed_base
アジア,ミニショベル,2020,10517,88871
アジア,ミニショベル,2021,15664,93427
アジア,ミニショベル,2022,20065,101814
アジア,ミニショベル,2023,24231,113319
アジア,ミニショベル,2024,25618,124772
アジア,ミニショベル,2025,28320,137496
アジア,一般建機,1995,5969,68763
アジア,一般建機,1996,9506,72018
アジア,一般建機,1997,7642,73114
アジア,一般建機,1998,3298,69764
アジア,一般建機,1999,4153,67575
アジア,一般建機,2000,3784,65214
アジア,一般建機,2001,4309,63595
アジア,一般建機,2002,4342,62157
アジア,一般建機,2003,8021,64526
アジア,一般建機,2004,12674,71335
アジア,一般建機,2005,17449,82298
アジア,一般建機,2006,18785,93601
アジア,一般建機,2007,25300,110393
アジア,一般建機,2008,24570,124927
アジア,一般建機,2009,25644,139215
アジア,一般建機,2010,31488,158047
アジア,一般建機,2011,39378,183057
アジア,一般建機,2012,43898,210314
アジア,一般建機,2013,40581,231775
アジア,一般建機,2014,40811,251515
アジア,一般建機,2015,47914,276565
アジア,一般建機,2016,52413,303835
アジア,一般建機,2017,56615,332828
アジア,一般建機,2018,75043,377615
アジア,一般建機,2019,69161,412448
アジア,一般建機,2020,34249,409202
アジア,一般建機,2021,62460,434460
アジア,一般建機,2022,100362,495327
アジア,一般建機,2023,102018,552316
アジア,一般建機,2024,107863,609968
アジア,一般建機,2025,123381,677896
アジア,鉱山機械,1995,190,2715
アジア,鉱山機械,1996,242,2764
アジア,鉱山機械,1997,202,2768
アジア,鉱山機械,1998,203,2774
アジア,鉱山機械,1999,163,2740
アジア,鉱山機械,2000,142,2685
アジア,鉱山機械,2001,149,2643
アジア,鉱山機械,2002,191,2645
アジア,鉱山機械,2003,174,2631
アジア,鉱山機械,2004,226,2670
アジア,鉱山機械,2005,428,2906
アジア,鉱山機械,2006,634,3332
アジア,鉱山機械,2007,843,3938
アジア,鉱山機械,2008,1037,4693
アジア,鉱山機械,2009,1086,5444
アジア,鉱山機械,2010,520,5574
アジア,鉱山機械,2011,1036,6212
アジア,鉱山機械,2012,1082,6850
アジア,鉱山機械,2013,1001,7361
アジア,鉱山機械,2014,828,7664
アジア,鉱山機械,2015,448,7566
アジア,鉱山機械,2016,341,7367
アジア,鉱山機械,2017,338,7178
アジア,鉱山機械,2018,544,7211
アジア,鉱山機械,2019,537,7231
アジア,鉱山機械,2020,605,7319
アジア,鉱山機械,2021,969,7767
アジア,鉱山機械,2022,1296,8507
アジア,鉱山機械,2023,1152,9052
アジア,鉱山機械,2024,1177,9582
アジア,鉱山機械,2025,1131,10030
アフリカ,ミニショベル,1995,602,4842
アフリカ,ミニショベル,1996,775,5012
アフリカ,ミニショベル,1997,913,5299
アフリカ,ミニショベル,1998,928,5563
アフリカ,ミニショベル,1999,1069,5938
アフリカ,ミニショベル,2000,1333,6530
アフリカ,ミニショベル,2001,1412,7124
アフリカ,ミニショベル,2002,1587,7822
アフリカ,ミニショベル,2003,1734,8577
アフリカ,ミニショベル,2004,1789,9294
アフリカ,ミニショベル,2005,2070,10199
アフリカ,ミニショベル,2006,2439,11362
アフリカ,ミニショベル,2007,2833,12775
アフリカ,ミニショベル,2008,3283,14462
アフリカ,ミニショベル,2009,3034,15688
アフリカ,ミニショベル,2010,3373,17102
アフリカ,ミニショベル,2011,3367,18329
アフリカ,ミニショベル,2012,3560,19599
アフリカ,ミニショベル,2013,3783,20933
アフリカ,ミニショベル,2014,3699,22014
アフリカ,ミニショベル,2015,4056,23318
アフリカ,ミニショベル,2016,3621,24026
アフリカ,ミニショベル,2017,3758,24780
アフリカ,ミニショベル,2018,3949,25632
アフリカ,ミニショベル,2019,4142,26570
アフリカ,ミニショベル,2020,3327,26576
アフリカ,ミニショベル,2021,3806,27059
アフリカ,ミニショベル,2022,4812,28488
アフリカ,ミニショベル,2023,4722,29649
アフリカ,ミニショベル,2024,5268,31209
アフリカ,ミニショベル,2025,5720,33029
アフリカ,一般建機,1995,1550,17860
アフリカ,一般建機,1996,2532,18768
アフリカ,一般建機,1997,3017,20079
アフリカ,一般建機,1998,2174,20429
アフリカ,一般建機,1999,2094,20666
アフリカ,一般建機,2000,2290,21077
アフリカ,一般建機,2001,2453,21617
アフリカ,一般建機,2002,2944,22595
アフリカ,一般建機,2003,2962,23506
アフリカ,一般建機,2004,3854,25223
アフリカ,一般建機,2005,5490,28418
アフリカ,一般建機,2006,7100,32937
アフリカ,一般建機,2007,9917,39857
アフリカ,一般建機,2008,12617,48851
アフリカ,一般建機,2009,7137,51547
アフリカ,一般建機,2010,7302,54164
アフリカ,一般建機,2011,7162,56401
アフリカ,一般建機,2012,7040,58315
アフリカ,一般建機,2013,8468,61482
アフリカ,一般建機,2014,10009,65901
アフリカ,一般建機,2015,10047,69957
アフリカ,一般建機,2016,7229,70828
アフリカ,一般建機,2017,7371,71760
アフリカ,一般建機,2018,9475,74714
アフリカ,一般建機,2019,9694,77616
アフリカ,一般建機,2020,6583,77142
アフリカ,一般建機,2021,6022,76149
アフリカ,一般建機,2022,10196,79421
アフリカ,一般建機,2023,6391,78595
アフリカ,一般建機,2024,4794,76242
アフリカ,一般建機,2025,5923,75233
アフリカ,鉱山機械,1995,459,6266
アフリカ,鉱山機械,1996,559,6376
アフリカ,鉱山機械,1997,359,6280
アフリカ,鉱山機械,1998,411,6242
アフリカ,鉱山機械,1999,323,6118
アフリカ,鉱山機械,2000,309,5991
アフリカ,鉱山機械,2001,358,5920
アフリカ,鉱山機械,2002,412,5909
アフリカ,鉱山機械,2003,300,5787
アフリカ,鉱山機械,2004,415,5790
アフリカ,鉱山機械,2005,1033,6409
アフリカ,鉱山機械,2006,1178,7129
アフリカ,鉱山機械,2007,1869,8489
アフリカ,鉱山機械,2008,1832,9715
アフリカ,鉱山機械,2009,1886,10906
アフリカ,鉱山機械,2010,761,10888
アフリカ,鉱山機械,2011,1766,11877
アフリカ,鉱山機械,2012,1692,12721
アフリカ,鉱山機械,2013,1175,12987
アフリカ,鉱山機械,2014,940,12999
アフリカ,鉱山機械,2015,681,12751
アフリカ,鉱山機械,2016,507,12346
アフリカ,鉱山機械,2017,498,11963
アフリカ,鉱山機械,2018,942,12052
アフリカ,鉱山機械,2019,1061,12251
アフリカ,鉱山機械,2020,897,12273
アフリカ,鉱山機械,2021,1013,12409
アフリカ,鉱山機械,2022,2015,13538
アフリカ,鉱山機械,2023,2029,14599
アフリカ,鉱山機械,2024,1191,14748
アフリカ,鉱山機械,2025,1118,14812
オセアニア,ミニショベル,1995,2275,18994
オセアニア,ミニショベル,1996,2577,19196
オセアニア,ミニショベル,1997,2912,19708
オセアニア,ミニショベル,1998,3107,20352
オセアニア,ミニショベル,1999,3611,21419
オセアニア,ミニショベル,2000,3693,22434
オセアニア,ミニショベル,2001,3669,23300
オセアニア,ミニショベル,2002,3816,24204
オセアニア,ミニショベル,2003,3816,24994
オセアニア,ミニショベル,2004,3970,25840
オセアニア,ミニショベル,2005,3883,26493
オセアニア,ミニショベル,2006,4164,27345
オセアニア,ミニショベル,2007,4183,28110
オセアニア,ミニショベル,2008,3991,28588
オセアニア,ミニショベル,2009,4056,29070
オセアニア,ミニショベル,2010,3881,29316
オセアニア,ミニショベル,2011,4342,29995
オセアニア,ミニショベル,2012,4862,31107
オセアニア,ミニショベル,2013,5276,32495
オセアニア,ミニショベル,2014,5115,33547
オセアニア,ミニショベル,2015,4766,34120
オセアニア,ミニショベル,2016,4656,34511
オセアニア,ミニショベル,2017,5165,35363
オセアニア,ミニショベル,2018,5228,36171
オセアニア,ミニショベル,2019,5065,36714
オセアニア,ミニショベル,2020,4806,36930
オセアニア,ミニショベル,2021,5128,37442
オセアニア,ミニショベル,2022,5823,38585
オセアニア,ミニショベル,2023,5586,39348
オセアニア,ミニショベル,2024,5668,40096
オセアニア,ミニショベル,2025,5114,40199
オセアニア,一般建機,1995,1614,17096
オセアニア,一般建機,1996,1639,17181
オセアニア,一般建機,1997,1402,17022
オセアニア,一般建機,1998,1927,17401
オセアニア,一般建機,1999,2105,17924
オセアニア,一般建機,2000,2117,18412
オセアニア,一般建機,2001,1403,18141
オセアニア,一般建機,2002,1895,18386
オセアニア,一般建機,2003,2412,19127
オセアニア,一般建機,2004,2644,20033
オセアニア,一般建機,2005,3248,21460
オセアニア,一般建機,2006,3744,23254
オセアニア,一般建機,2007,5199,26339
オセアニア,一般建機,2008,5581,29526
オセアニア,一般建機,2009,3949,30790
オセアニア,一般建機,2010,3430,31421
オセアニア,一般建機,2011,4436,33000
オセアニア,一般建機,2012,5804,35804
オセアニア,一般建機,2013,5906,38455
オセアニア,一般建機,2014,4401,39360
オセアニア,一般建機,2015,3431,39213
オセアニア,一般建機,2016,3226,38873
オセアニア,一般建機,2017,2944,38285
オセアニア,一般建機,2018,4377,39180
オセアニア,一般建機,2019,3662,39280
オセアニア,一般建機,2020,3416,39126
オセアニア,一般建機,2021,4883,40452
オセアニア,一般建機,2022,5700,42474
オセアニア,一般建機,2023,5002,43615
オセアニア,一般建機,2024,4842,44492
オセアニア,一般建機,2025,5849,46297
オセアニア,鉱山機械,1995,180,2660
オセアニア,鉱山機械,1996,230,2700
オセアニア,鉱山機械,1997,201,2708
オセアニア,鉱山機械,1998,201,2716
オセアニア,鉱山機械,1999,184,2706
オセアニア,鉱山機械,2000,152,2664
オセアニア,鉱山機械,2001,192,2666
オセアニア,鉱山機械,2002,228,2703
オセアニア,鉱山機械,2003,182,2692
オセアニア,鉱山機械,2004,220,2720
オセアニア,鉱山機械,2005,338,2864
オセアニア,鉱山機械,2006,582,3241
オセアニア,鉱山機械,2007,739,3748
オセアニア,鉱山機械,2008,1078,4559
オセアニア,鉱山機械,2009,1074,5307
オセアニア,鉱山機械,2010,435,5363
オセアニア,鉱山機械,2011,933,5913
オセアニア,鉱山機械,2012,1118,6609
オセアニア,鉱山機械,2013,823,6960
オセアニア,鉱山機械,2014,571,7034
オセアニア,鉱山機械,2015,256,6788
オセアニア,鉱山機械,2016,249,6552
オセアニア,鉱山機械,2017,251,6335
オセアニア,鉱山機械,2018,397,6280
オセアニア,鉱山機械,2019,389,6220
オセアニア,鉱山機械,2020,564,6339
オセアニア,鉱山機械,2021,758,6645
オセアニア,鉱山機械,2022,1027,7197
オセアニア,鉱山機械,2023,1052,7735
オセアニア,鉱山機械,2024,538,7720
オセアニア,鉱山機械,2025,606,7775
中南米,ミニショベル,1995,8246,66785
中南米,ミニショベル,1996,10141,68578
中南米,ミニショベル,1997,13519,73524
中南米,ミニショベル,1998,12937,77272
中南米,ミニショベル,1999,11933,79546
中南米,ミニショベル,2000,12671,82275
中南米,ミニショベル,2001,12248,84238
中南米,ミニショベル,2002,11815,85523
中南米,ミニショベル,2003,13239,88072
中南米,ミニショベル,2004,17379,94443
中南米,ミニショベル,2005,16944,99582
中南米,ミニショベル,2006,20283,107417
中南米,ミニショベル,2007,23023,117012
中南米,ミニショベル,2008,23186,125571
中南米,ミニショベル,2009,18205,128079
中南米,ミニショベル,2010,24120,136189
中南米,ミニショベル,2011,24635,143799
中南米,ミニショベル,2012,23742,149567
中南米,ミニショベル,2013,26085,156956
中南米,ミニショベル,2014,24883,162219
中南米,ミニショベル,2015,20637,162577
中南米,ミニショベル,2016,20148,162404
中南米,ミニショベル,2017,22769,164871
中南米,ミニショベル,2018,23476,167736
中南米,ミニショベル,2019,23582,170352
中南米,ミニショベル,2020,13047,162106
中南米,ミニショベル,2021,24522,166364
中南米,ミニショベル,2022,30582,176151
中南米,ミニショベル,2023,29965,184096
中南米,ミニショベル,2024,29644,190727
中南米,ミニショベル,2025,30038,196926
中南米,一般建機,1995,9734,105325
中南米,一般建機,1996,12094,107843
中南米,一般建機,1997,15421,113460
中南米,一般建機,1998,17017,120163
中南米,一般建機,1999,10451,119690
中南米,一般建機,2000,12928,121739
中南米,一般建機,2001,10508,121179
中南米,一般建機,2002,9566,119730
中南米,一般建機,2003,10603,119448
中南米,一般建機,2004,16489,125079
中南米,一般建機,2005,20135,133843
中南米,一般建機,2006,24060,145735
中南米,一般建機,2007,34669,167155
中南米,一般建機,2008,36226,188185
中南米,一般建機,2009,22895,193972
中南米,一般建機,2010,26417,202754
中南米,一般建機,2011,35047,219368
中南米,一般建機,2012,34776,234201
中南米,一般建機,2013,30947,243857
中南米,一般建機,2014,24949,246639
中南米,一般建機,2015,20029,244245
中南米,一般建機,2016,17250,239291
中南米,一般建機,2017,16080,233615
中南米,一般建機,2018,19313,231693
中南米,一般建機,2019,18794,229424
中南米,一般建機,2020,12767,221334
中南米,一般建機,2021,28286,229499
中南米,一般建機,2022,37367,246002
中南米,一般建機,2023,28117,251756
中南米,一般建機,2024,27607,256474
中南米,一般建機,2025,28223,261381
中南米,鉱山機械,1995,564,7915
中南米,鉱山機械,1996,723,8073
中南米,鉱山機械,1997,478,7976
中南米,鉱山機械,1998,539,7945
中南米,鉱山機械,1999,414,7792
中南米,鉱山機械,2000,372,7608
中南米,鉱山機械,2001,551,7616
中南米,鉱山機械,2002,542,7615
中南米,鉱山機械,2003,492,7561
中南米,鉱山機械,2004,579,7600
中南米,鉱山機械,2005,1045,8102
中南米,鉱山機械,2006,1633,9155
中南米,鉱山機械,2007,2517,11019
中南米,鉱山機械,2008,2809,13039
中南米,鉱山機械,2009,2689,14797
中南米,鉱山機械,2010,987,14725
中南米,鉱山機械,2011,2420,16093
中南米,鉱山機械,2012,2424,17368
中南米,鉱山機械,2013,1561,17689
中南米,鉱山機械,2014,1503,17930
中南米,鉱山機械,2015,741,17390
中南米,鉱山機械,2016,702,16849
中南米,鉱山機械,2017,780,16427
中南米,鉱山機械,2018,1033,16286
中南米,鉱山機械,2019,1033,16156
中南米,鉱山機械,2020,1170,16173
中南米,鉱山機械,2021,1298,16316
中南米,鉱山機械,2022,2617,17767
中南米,鉱山機械,2023,2276,18774
中南米,鉱山機械,2024,1632,19067
中南米,鉱山機械,2025,1379,19083
中国,ミニショベル,1995,128,1055
中国,ミニショベル,1996,301,1224
中国,ミニショベル,1997,418,1489
中国,ミニショベル,1998,534,1837
中国,ミニショベル,1999,711,2318
中国,ミニショベル,2000,976,3005
中国,ミニショベル,2001,1178,3808
中国,ミニショベル,2002,1604,4936
中国,ミニショベル,2003,2358,6677
中国,ミニショベル,2004,3141,8984
中国,ミニショベル,2005,4243,12104
中国,ミニショベル,2006,6272,16863
中国,ミニショベル,2007,11064,25819
中国,ミニショベル,2008,13636,36227
中国,ミニショベル,2009,16916,48615
中国,ミニショベル,2010,26068,68606
中国,ミニショベル,2011,26926,86957
中国,ミニショベル,2012,18824,94912
中国,ミニショベル,2013,26214,109262
中国,ミニショベル,2014,29400,125003
中国,ミニショベル,2015,28477,137855
中国,ミニショベル,2016,43856,164479
中国,ミニショベル,2017,67393,211312
中国,ミニショベル,2018,85445,270343
中国,ミニショベル,2019,86438,322988
中国,ミニショベル,2020,78256,360870
中国,ミニショベル,2021,133098,448860
中国,ミニショベル,2022,48994,441747
中国,ミニショベル,2023,37765,424293
中国,ミニショベル,2024,50587,421843
中国,ミニショベル,2025,51174,420287
中国,一般建機,1995,864,8892
中国,一般建機,1996,1848,9931
中国,一般建機,1997,2798,11826
中国,一般建機,1998,4149,14900
中国,一般建機,1999,4096,17642
中国,一般建機,2000,6273,22310
中国,一般建機,2001,7444,27726
中国,一般建機,2002,11670,36875
中国,一般建機,2003,15754,49277
中国,一般建機,2004,24311,69108
中国,一般建機,2005,32231,95057
中国,一般建機,2006,44252,130668
中国,一般建機,2007,70884,189673
中国,一般建機,2008,71444,243873
中国,一般建機,2009,138933,360636
中国,一般建機,2010,157921,485771
中国,一般建機,2011,188786,630396
中国,一般建機,2012,112878,685966
中国,一般建機,2013,111691,735296
中国,一般建機,2014,113845,782296
中国,一般建機,2015,93764,804942
中国,一般建機,2016,121673,853438
中国,一般建機,2017,206058,981911
中国,一般建機,2018,244513,1137160
中国,一般建機,2019,261261,1295042
中国,一般建機,2020,280526,1457837
中国,一般建機,2021,307233,1632540
中国,一般建機,2022,166766,1650893
中国,一般建機,2023,91665,1592476
中国,一般建機,2024,92633,1540339
中国,一般建機,2025,130563,1530871
中国,鉱山機械,1995,157,2060
中国,鉱山機械,1996,162,2075
中国,鉱山機械,1997,145,2071
中国,鉱山機械,1998,164,2087
中国,鉱山機械,1999,139,2077
中国,鉱山機械,2000,122,2051
中国,鉱山機械,2001,163,2067
中国,鉱山機械,2002,163,2083
中国,鉱山機械,2003,192,2126
中国,鉱山機械,2004,207,2181
中国,鉱山機械,2005,335,2360
中国,鉱山機械,2006,490,2682
中国,鉱山機械,2007,687,3177
中国,鉱山機械,2008,909,3859
中国,鉱山機械,2009,1052,4636
中国,鉱山機械,2010,660,4965
中国,鉱山機械,2011,1306,5917
中国,鉱山機械,2012,697,6191
中国,鉱山機械,2013,510,6259
中国,鉱山機械,2014,426,6238
中国,鉱山機械,2015,232,6024
中国,鉱山機械,2016,185,5778
中国,鉱山機械,2017,383,5749
中国,鉱山機械,2018,602,5940
中国,鉱山機械,2019,505,6021
中国,鉱山機械,2020,759,6350
中国,鉱山機械,2021,1207,7103
中国,鉱山機械,2022,843,7439
中国,鉱山機械,2023,413,7321
中国,鉱山機械,2024,417,7215
中国,鉱山機械,2025,535,7235
中近東,ミニショベル,1995,3122,24731
中近東,ミニショベル,1996,3818,25458
中近東,ミニショベル,1997,4348,26623
中近東,ミニショベル,1998,4755,28051
中近東,ミニショベル,1999,4114,28658
中近東,ミニショベル,2000,4860,29937
中近東,ミニショベル,2001,4363,30557
中近東,ミニショベル,2002,5302,32039
中近東,ミニショベル,2003,6572,34605
中近東,ミニショベル,2004,7035,37315
中近東,ミニショベル,2005,8547,41198
中近東,ミニショベル,2006,8982,45030
中近東,ミニショベル,2007,9216,48617
中近東,ミニショベル,2008,9109,51649
中近東,ミニショベル,2009,7383,52576
中近東,ミニショベル,2010,9573,55577
中近東,ミニショベル,2011,12049,60679
中近東,ミニショベル,2012,12537,65630
中近東,ミニショベル,2013,13738,71164
中近東,ミニショベル,2014,15136,77404
中近東,ミニショベル,2015,18163,85890
中近東,ミニショベル,2016,16335,91489
中近東,ミニショベル,2017,17900,97952
中近東,ミニショベル,2018,13722,99431
中近東,ミニショベル,2019,12487,99489
中近東,ミニショベル,2020,16096,103149
中近東,ミニショベル,2021,20970,111225
中近東,ミニショベル,2022,23478,120800
中近東,ミニショベル,2023,20817,126516
中近東,ミニショベル,2024,20352,131055
中近東,ミニショベル,2025,21332,136005
中近東,一般建機,1995,3627,39388
中近東,一般建機,1996,4769,40578
中近東,一般建機,1997,5724,42612
中近東,一般建機,1998,5362,44099
中近東,一般建機,1999,3159,43249
中近東,一般建機,2000,4878,44195
中近東,一般建機,2001,2981,43158
中近東,一般建機,2002,4194,43429
中近東,一般建機,2003,6275,45755
中近東,一般建機,2004,10811,52408
中近東,一般建機,2005,11340,58984
中近東,一般建機,2006,13809,67431
中近東,一般建機,2007,16219,77521
中近東,一般建機,2008,11559,82034
中近東,一般建機,2009,8028,82603
中近東,一般建機,2010,10432,85525
中近東,一般建機,2011,13109,90860
中近東,一般建機,2012,12950,95550
中近東,一般建機,2013,16451,103315
中近東,一般建機,2014,17619,111542
中近東,一般建機,2015,21725,123128
中近東,一般建機,2016,18632,130566
中近東,一般建機,2017,19770,138466
中近東,一般建機,2018,12223,138101
中近東,一般建機,2019,8532,134080
中近東,一般建機,2020,16108,137999
中近東,一般建機,2021,18608,144062
中近東,一般建機,2022,25003,155969
中近東,一般建機,2023,29424,171213
中近東,一般建機,2024,26104,181752
中近東,一般建機,2025,21600,186829
中近東,鉱山機械,1995,25,346
中近東,鉱山機械,1996,24,345
中近東,鉱山機械,1997,23,343
中近東,鉱山機械,1998,29,347
中近東,鉱山機械,1999,25,347
中近東,鉱山機械,2000,15,337
中近東,鉱山機械,2001,16,329
中近東,鉱山機械,2002,24,329
中近東,鉱山機械,2003,15,321
中近東,鉱山機械,2004,18,316
中近東,鉱山機械,2005,47,340
中近東,鉱山機械,2006,43,358
中近東,鉱山機械,2007,44,377
中近東,鉱山機械,2008,61,411
中近東,鉱山機械,2009,109,490
中近東,鉱山機械,2010,54,509
中近東,鉱山機械,2011,75,548
中近東,鉱山機械,2012,74,582
中近東,鉱山機械,2013,58,599
中近東,鉱山機械,2014,40,596
中近東,鉱山機械,2015,25,579
中近東,鉱山機械,2016,27,565
中近東,鉱山機械,2017,38,563
中近東,鉱山機械,2018,44,567
中近東,鉱山機械,2019,33,560
中近東,鉱山機械,2020,40,560
中近東,鉱山機械,2021,33,553
中近東,鉱山機械,2022,102,615
中近東,鉱山機械,2023,196,767
中近東,鉱山機械,2024,74,786
中近東,鉱山機械,2025,48,778
北米,ミニショベル,1995,32699,282099
北米,ミニショベル,1996,42338,289174
北米,ミニショベル,1997,47275,300303
北米,ミニショベル,1998,47555,310319
北米,ミニショベル,1999,48477,320005
北米,ミニショベル,2000,40361,320366
北米,ミニショベル,2001,48435,328755
北米,ミニショベル,2002,49293,336953
北米,ミニショベル,2003,50284,345118
北米,ミニショベル,2004,55502,357480
北米,ミニショベル,2005,57546,370341
北米,ミニショベル,2006,56127,380175
北米,ミニショベル,2007,55897,388549
北米,ミニショベル,2008,49824,389806
北米,ミニショベル,2009,42002,383081
北米,ミニショベル,2010,51805,387002
北米,ミニショベル,2011,72393,411020
北米,ミニショベル,2012,63378,423020
北米,ミニショベル,2013,56579,426722
北米,ミニショベル,2014,58128,431510
北米,ミニショベル,2015,59992,437565
北米,ミニショベル,2016,57781,440650
北米,ミニショベル,2017,60723,446292
北米,ミニショベル,2018,60098,450604
北米,ミニショベル,2019,66312,460591
北米,ミニショベル,2020,59881,462898
北米,ミニショベル,2021,61753,466789
北米,ミニショベル,2022,58230,466670
北米,ミニショベル,2023,65045,473382
北米,ミニショベル,2024,71412,485621
北米,ミニショベル,2025,59833,484751
北米,一般建機,1995,22379,263927
北米,一般建機,1996,29939,269872
北米,一般建機,1997,32132,277470
北米,一般建機,1998,39943,292188
北米,一般建機,1999,36453,302078
北米,一般建機,2000,36201,310819
北米,一般建機,2001,34880,317442
北米,一般建機,2002,29059,317643
北米,一般建機,2003,32971,321737
北米,一般建機,2004,32636,325124
北米,一般建機,2005,45272,340840
北米,一般建機,2006,51235,361089
北米,一般建機,2007,47936,376201
北米,一般建機,2008,41585,383586
北米,一般建機,2009,16080,364795
北米,一般建機,2010,19468,351098
北米,一般建機,2011,37262,356442
北米,一般建機,2012,44145,368184
北米,一般建機,2013,46117,380829
北米,一般建機,2014,47182,393390
北米,一般建機,2015,51662,409290
北米,一般建機,2016,43250,415332
北米,一般建機,2017,40421,417996
北米,一般建機,2018,51566,431561
北米,一般建機,2019,50208,442537
北米,一般建機,2020,41583,443889
北米,一般建機,2021,54672,458207
北米,一般建機,2022,71630,488182
北米,一般建機,2023,54920,498721
北米,一般建機,2024,53429,506812
北米,一般建機,2025,56078,516815
北米,鉱山機械,1995,239,3652
北米,鉱山機械,1996,268,3659
北米,鉱山機械,1997,230,3629
北米,鉱山機械,1998,230,3599
北米,鉱山機械,1999,191,3534
北米,鉱山機械,2000,164,3445
北米,鉱山機械,2001,221,3419
北米,鉱山機械,2002,237,3413
北米,鉱山機械,2003,232,3401
北米,鉱山機械,2004,324,3482
